,industry_name,state,count,med,sum_count,avg_med,sum_med
165,Staffing and Recruiting,VA,20,9600.0,991,5833.0,251615.0
166,Staffing and Recruiting,OR,20,6400.0,991,5833.0,251615.0
167,Staffing and Recruiting,MD,20,5208.0,991,5833.0,251615.0
168,Staffing and Recruiting,MN,19,6250.0,991,5833.0,251615.0
169,Staffing and Recruiting,AZ,17,3360.0,991,5833.0,251615.0
170,Staffing and Recruiting,CO,16,7083.0,991,5833.0,251615.0
171,Staffing and Recruiting,WI,14,7708.0,991,5833.0,251615.0
172,Staffing and Recruiting,TN,12,6043.0,991,5833.0,251615.0
173,Staffing and Recruiting,MO,12,6880.0,991,5833.0,251615.0
174,Staffing and Recruiting,IN,11,7083.0,991,5833.0,251615.0
175,Staffing and Recruiting,CT,11,6560.0,991,5833.0,251615.0
176,Staffing and Recruiting,DC,9,5833.0,991,5833.0,251615.0
177,Staffing and Recruiting,IA,8,,991,5833.0,251615.0
178,Staffing and Recruiting,KY,7,3958.0,991,5833.0,251615.0
179,Staffing and Recruiting,KS,6,3680.0,991,5833.0,251615.0
180,Staffing and Recruiting,NV,5,4800.0,991,5833.0,251615.0
181,Staffing and Recruiting,RI,4,5000.0,991,5833.0,251615.0
182,Staffing and Recruiting,NE,4,3458.0,991,5833.0,251615.0
183,Staffing and Recruiting,MS,4,5120.0,991,5833.0,251615.0
184,Staffing and Recruiting,OK,3,12000.0,991,5833.0,251615.0
185,Staffing and Recruiting,NM,3,2400.0,991,5833.0,251615.0
186,Staffing and Recruiting,LA,3,3840.0,991,5833.0,251615.0
187,Staffing and Recruiting,HI,3,,991,5833.0,251615.0
188,Staffing and Recruiting,AR,3,4500.0,991,5833.0,251615.0
189,Staffing and Recruiting,AL,3,3840.0,991,5833.0,251615.0
190,Staffing and Recruiting,WV,2,,991,5833.0,251615.0
191,Staffing and Recruiting,UT,2,,991,5833.0,251615.0
192,Staffing and Recruiting,AK,2,3040.0,991,5833.0,251615.0
193,Staffing and Recruiting,VT,1,,991,5833.0,251615.0
194,Staffing and Recruiting,SD,1,,991,5833.0,251615.0
195,Staffing and Recruiting,NH,1,,991,5833.0,251615.0
196,Staffing and Recruiting,MT,1,,991,5833.0,251615.0
197,Staffing and Recruiting,ME,1,11520.0,991,5833.0,251615.0
198,Staffing and Recruiting,ID,1,,991,5833.0,251615.0
199,Financial Services,,138,8250.0,934,7666.0,325761.0
200,Financial Services,NY,101,9802.0,934,7666.0,325761.0
201,Financial Services,CA,63,8000.0,934,7666.0,325761.0
202,Financial Services,TX,62,6250.0,934,7666.0,325761.0
