,med_salary,formatted_experience_level
917,8640,Mid-Senior level
918,7200,Entry level
919,3200,Associate
920,6666,
921,8160,Mid-Senior level
922,8750,Mid-Senior level
923,5373,Mid-Senior level
924,2560,Mid-Senior level
925,4160,Mid-Senior level
926,6720,Mid-Senior level
927,3146,Associate
928,2880,Entry level
929,5120,
930,16666,Director
931,6875,Associate
932,8750,Mid-Senior level
933,7916,Associate
934,3360,
935,19166,
936,4500,Mid-Senior level
937,13333,Associate
938,9583,Mid-Senior level
939,9375,Mid-Senior level
940,5885,Entry level
941,6240,Associate
942,3200,
943,12500,
944,6250,Associate
945,16458,Mid-Senior level
946,2560,
947,5000,
948,5000,Mid-Senior level
949,10416,Director
950,5833,Associate
951,4833,Associate
952,14720,Mid-Senior level
953,5120,Associate
954,5833,
955,4960,Entry level
956,7680,Mid-Senior level
957,19791,Director
958,6400,
959,9166,Mid-Senior level
960,19291,Director
961,8000,Associate
962,10080,Mid-Senior level
963,10625,Mid-Senior level
964,8160,Entry level
965,6250,
966,5833,Mid-Senior level
967,6979,
968,4000,
969,5120,Associate
970,4895,Mid-Senior level
971,11958,Associate
972,7916,Mid-Senior level
973,3360,Mid-Senior level
974,3360,Entry level
975,18750,
976,6880,Mid-Senior level
977,7749,Mid-Senior level
978,8750,Mid-Senior level
979,1600,Entry level
980,8333,Director
981,3200,Entry level
982,3840,
983,7291,Mid-Senior level
984,6666,Mid-Senior level
985,10000,Mid-Senior level
986,15625,Director
987,3520,Entry level
988,6666,Mid-Senior level
989,6720,Associate
990,8320,Mid-Senior level
991,7916,Mid-Senior level
992,3680,Associate
993,8845,Mid-Senior level
994,4960,Entry level
995,3840,Mid-Senior level
996,11250,Director
997,6979,Associate
998,12916,Mid-Senior level
999,6240,Mid-Senior level
1000,6920,Mid-Senior level
1001,8250,
1002,8000,
1003,6250,Mid-Senior level
1004,6666,Entry level
1005,5241,Mid-Senior level
1006,7040,Mid-Senior level
1007,9166,Director
1008,8750,Mid-Senior level
1009,14437,Mid-Senior level
1010,5416,Mid-Senior level
1011,9756,Mid-Senior level
1012,15000,Mid-Senior level
1013,4916,Mid-Senior level
1014,2720,Mid-Senior level
1015,6080,
1016,7083,
1017,8750,Mid-Senior level
1018,6169,Associate
1019,3520,Entry level
1020,8750,Mid-Senior level
1021,4791,Entry level
1022,11458,Director
1023,10833,Mid-Senior level
1024,5280,
1025,4000,Associate
1026,6666,Associate
1027,12916,Director
1028,7500,Mid-Senior level
1029,7083,
1030,8125,Mid-Senior level
1031,2560,Entry level
1032,3766,
1033,5920,Mid-Senior level
1034,15208,Executive
1035,9600,
1036,8320,Associate
1037,11840,Mid-Senior level
1038,9166,Director
1039,7083,Mid-Senior level
1040,7645,Entry level
1041,5241,Mid-Senior level
1042,4160,Associate
1043,3958,Associate
1044,7360,Mid-Senior level
1045,7840,Entry level
1046,2720,Entry level
1047,11360,Mid-Senior level
1048,7833,
1049,4320,Internship
1050,9833,Mid-Senior level
1051,5666,Associate
1052,11458,Mid-Senior level
1053,16666,
1054,6250,Mid-Senior level
1055,14125,Associate
1056,5600,Mid-Senior level
1057,9583,Mid-Senior level
1058,6560,Associate
1059,8160,Mid-Senior level
1060,7200,Mid-Senior level
1061,4800,
1062,20575,
1063,3040,Director
1064,3520,Internship
1065,3360,Entry level
1066,3520,Entry level
1067,3520,Entry level
1068,6666,
1069,9053,
1070,8370,Entry level
1071,7291,Mid-Senior level
1072,8800,Mid-Senior level
1073,7291,Mid-Senior level
1074,2880,Entry level
1075,6880,Associate
1076,6666,
1077,55,Associate
1078,4480,Associate
1079,8800,Mid-Senior level
1080,10000,
1081,12304,Mid-Senior level
1082,10833,Mid-Senior level
1083,10400,Mid-Senior level
1084,8800,Mid-Senior level
1085,8883,Mid-Senior level
1086,8333,Mid-Senior level
1087,4500,Associate
1088,6875,Mid-Senior level
1089,10400,Mid-Senior level
1090,5492,Mid-Senior level
1091,9440,Mid-Senior level
1092,5456,Mid-Senior level
1093,5373,Entry level
1094,7520,Mid-Senior level
1095,3854,Associate
1096,12800,
1097,3854,Associate
1098,3680,
1099,9600,Mid-Senior level
1100,15833,Mid-Senior level
1101,8320,Associate
1102,6240,Associate
1103,5416,Associate
1104,11200,Mid-Senior level
1105,3840,Associate
1106,4000,Associate
1107,3680,
1108,10023,Mid-Senior level
1109,8091,Mid-Senior level
1110,10958,Mid-Senior level
1111,11041,Mid-Senior level
1112,4320,Entry level
1113,3680,Associate
1114,2880,Entry level
1115,4960,
1116,10000,Mid-Senior level
1117,9375,Mid-Senior level
1118,3520,
1119,10875,Mid-Senior level
1120,10416,Associate
1121,9583,Mid-Senior level
1122,4000,Entry level
1123,7040,Mid-Senior level
1124,10240,Mid-Senior level
1125,3520,Associate
1126,4320,Entry level
1127,4000,Associate
1128,11693,Mid-Senior level
1129,11666,Mid-Senior level
1130,5920,Associate
1131,8348,Director
1132,6875,
1133,7083,Mid-Senior level
1134,10080,
