,med_salary,formatted_work_type
788,3333,Full-time
789,5625,Full-time
790,4583,Full-time
791,4960,Full-time
792,9583,Contract
793,12761,Full-time
794,6250,Full-time
795,3360,Full-time
796,7500,Full-time
797,9322,Full-time
798,10416,Full-time
799,5833,Full-time
800,5440,Contract
801,3520,Contract
802,1458,Full-time
803,12320,Contract
804,3840,Full-time
805,4583,Full-time
806,5000,Full-time
807,7916,Full-time
808,5416,Full-time
809,7916,Full-time
810,11200,Contract
811,15416,Full-time
812,5000,Full-time
813,25000,Full-time
814,2600,Full-time
815,5440,Contract
816,25000,Full-time
817,8800,Contract
818,8750,Full-time
819,3200,Full-time
820,4640,Contract
821,6,Full-time
822,15479,Full-time
823,3541,Full-time
824,1920,Internship
825,5250,Full-time
826,4291,Full-time
827,10000,Full-time
828,16000,Contract
829,3360,Full-time
830,8000,Contract
831,11083,Full-time
832,10000,Full-time
833,6720,Temporary
834,8333,Full-time
835,2964,Full-time
836,4166,Full-time
837,8320,Full-time
838,10000,Full-time
839,5416,Full-time
840,5280,Contract
841,3040,Full-time
842,9041,Full-time
843,11273,Full-time
844,10240,Full-time
845,4320,Temporary
846,3040,Contract
847,6583,Full-time
848,1000,Full-time
849,4640,Full-time
850,5600,Contract
851,3840,Full-time
852,6720,Contract
853,4791,Full-time
854,3520,Full-time
855,11250,Full-time
856,5833,Full-time
857,3360,Part-time
858,9583,Full-time
859,10416,Full-time
860,9760,Contract
861,4320,Full-time
862,4000,Part-time
863,14583,Full-time
864,7916,Full-time
865,3791,Full-time
866,2720,Full-time
867,6560,Contract
868,3520,Full-time
869,5416,Contract
870,14166,Full-time
871,12708,Full-time
872,8333,Full-time
873,3840,Contract
874,7200,Part-time
875,10720,Contract
876,7458,Full-time
877,8160,Contract
878,8958,Full-time
879,7500,Full-time
880,3040,Full-time
881,4640,Full-time
882,5233,Full-time
883,9106,Other
884,2080,Contract
885,10416,Full-time
886,5625,Full-time
887,5625,Full-time
888,8020,Full-time
889,12500,Full-time
890,5000,Full-time
891,11250,Full-time
892,3520,Temporary
893,12083,Full-time
894,5600,Full-time
895,3726,Full-time
896,3040,Full-time
897,9120,Full-time
898,13520,Full-time
899,6720,Contract
900,11666,Full-time
901,8875,Full-time
902,3200,Contract
903,15833,Full-time
904,12083,Full-time
905,3360,Full-time
906,8480,Contract
907,8750,Full-time
908,3391,Contract
909,8125,Full-time
910,5000,Full-time
911,5541,Full-time
912,4583,Full-time
913,12708,Full-time
914,4480,Contract
915,9145,Full-time
916,9291,Full-time
917,8640,Contract
918,7200,Contract
919,3200,Contract
920,6666,Full-time
921,8160,Contract
922,8750,Full-time
923,5373,Full-time
924,2560,Full-time
925,4160,Full-time
926,6720,Full-time
927,3146,Full-time
928,2880,Full-time
929,5120,Full-time
930,16666,Full-time
931,6875,Full-time
932,8750,Full-time
933,7916,Full-time
934,3360,Contract
935,19166,Full-time
936,4500,Full-time
937,13333,Full-time
938,9583,Full-time
939,9375,Full-time
940,5885,Full-time
941,6240,Full-time
942,3200,Full-time
943,12500,Full-time
944,6250,Full-time
945,16458,Full-time
946,2560,Full-time
947,5000,Full-time
948,5000,Full-time
949,10416,Full-time
950,5833,Full-time
951,4833,Full-time
952,14720,Contract
953,5120,Full-time
954,5833,Full-time
955,4960,Full-time
956,7680,Contract
957,19791,Full-time
958,6400,Full-time
959,9166,Full-time
960,19291,Full-time
961,8000,Full-time
962,10080,Contract
963,10625,Full-time
964,8160,Contract
965,6250,Full-time
966,5833,Full-time
967,6979,Full-time
968,4000,Internship
969,5120,Contract
970,4895,Full-time
971,11958,Full-time
972,7916,Full-time
973,3360,Part-time
974,3360,Full-time
975,18750,Full-time
976,6880,Full-time
977,7749,Full-time
978,8750,Full-time
979,1600,Full-time
980,8333,Full-time
981,3200,Full-time
982,3840,Full-time
983,7291,Full-time
984,6666,Full-time
985,10000,Full-time
986,15625,Full-time
987,3520,Contract
988,6666,Full-time
989,6720,Full-time
990,8320,Full-time
991,7916,Full-time
992,3680,Contract
993,8845,Full-time
994,4960,Full-time
995,3840,Contract
996,11250,Full-time
997,6979,Full-time
998,12916,Full-time
999,6240,Contract
1000,6920,Full-time
1001,8250,Full-time
1002,8000,Full-time
1003,6250,Full-time
1004,6666,Full-time
1005,5241,Full-time
1006,7040,Contract
1007,9166,Full-time
1008,8750,Full-time
1009,14437,Full-time
1010,5416,Contract
1011,9756,Other
1012,15000,Full-time
1013,4916,Full-time
1014,2720,Full-time
1015,6080,Full-time
1016,7083,Full-time
1017,8750,Full-time
1018,6169,Full-time
1019,3520,Temporary
1020,8750,Full-time
1021,4791,Full-time
1022,11458,Full-time
1023,10833,Full-time
1024,5280,Contract
1025,4000,Contract
1026,6666,Full-time
1027,12916,Full-time
1028,7500,Full-time
1029,7083,Full-time
1030,8125,Full-time
1031,2560,Full-time
1032,3766,Full-time
1033,5920,Contract
1034,15208,Full-time
1035,9600,Contract
1036,8320,Contract
1037,11840,Contract
1038,9166,Full-time
1039,7083,Full-time
1040,7645,Full-time
1041,5241,Full-time
1042,4160,Full-time
1043,3958,Full-time
1044,7360,Full-time
1045,7840,Full-time
1046,2720,Full-time
1047,11360,Full-time
1048,7833,Full-time
1049,4320,Full-time
1050,9833,Full-time
1051,5666,Full-time
1052,11458,Full-time
1053,16666,Full-time
1054,6250,Full-time
1055,14125,Full-time
1056,5600,Contract
1057,9583,Full-time
1058,6560,Contract
1059,8160,Contract
1060,7200,Contract
1061,4800,Full-time
1062,20575,Full-time
1063,3040,Full-time
1064,3520,Internship
1065,3360,Full-time
1066,3520,Full-time
1067,3520,Full-time
1068,6666,Contract
1069,9053,Full-time
1070,8370,Full-time
1071,7291,Full-time
1072,8800,Contract
1073,7291,Full-time
1074,2880,Full-time
1075,6880,Full-time
1076,6666,Full-time
1077,55,Full-time
1078,4480,Full-time
1079,8800,Contract
1080,10000,Full-time
1081,12304,Full-time
1082,10833,Part-time
1083,10400,Contract
1084,8800,Full-time
1085,8883,Other
1086,8333,Full-time
1087,4500,Full-time
1088,6875,Full-time
1089,10400,Contract
1090,5492,Full-time
1091,9440,Full-time
1092,5456,Full-time
1093,5373,Full-time
1094,7520,Full-time
1095,3854,Full-time
1096,12800,Contract
1097,3854,Full-time
1098,3680,Full-time
1099,9600,Part-time
1100,15833,Full-time
1101,8320,Contract
1102,6240,Contract
1103,5416,Full-time
1104,11200,Contract
1105,3840,Contract
1106,4000,Contract
1107,3680,Full-time
1108,10023,Other
1109,8091,Other
1110,10958,Other
1111,11041,Full-time
1112,4320,Full-time
1113,3680,Contract
1114,2880,Full-time
1115,4960,Contract
1116,10000,Full-time
1117,9375,Full-time
1118,3520,Full-time
1119,10875,Full-time
1120,10416,Full-time
1121,9583,Full-time
1122,4000,Contract
1123,7040,Contract
1124,10240,Contract
1125,3520,Full-time
1126,4320,Contract
1127,4000,Full-time
1128,11693,Full-time
1129,11666,Full-time
1130,5920,Contract
1131,8348,Full-time
1132,6875,Full-time
1133,7083,Full-time
1134,10080,Full-time
1135,4320,Full-time
1136,4583,Full-time
1137,3840,Full-time
1138,6880,Contract
1139,7200,Full-time
1140,8333,Full-time
